番号,駅名,ふりがな,所在地（都道府県・市町村名）,乗り入れ路線名１（上位２路線）,乗り入れ路線名２（上位２路線）
236,阿品,あじな,広島県廿日市市,ＪＲ西日本　山陽本線,
237,阿品東,あじなひがし,広島県廿日市市,＃広島電鉄宮島線,
238,芦野公園,あしのこうえん,青森県金木町,津軽鉄道,
239,芦ノ牧温泉,あしのまきおんせん,福島県会津若松市,会津鉄道会津線,
240,芦ノ牧温泉南,あしのまきおんせんみなみ,福島県会津若松市,会津鉄道会津線,
241,芦原,あしはら,愛知県豊橋市,豊橋鉄道渥美線,
242,芦原町,あしはらちょう,大阪府大阪市浪速区,南海高野線,
243,芦原橋,あしはらばし,大阪府大阪市浪速区,ＪＲ西日本　大阪環状線,
244,芦別,あしべつ,北海道芦別市,ＪＲ北海道　根室本線,
245,味鋺,あじま,愛知県名古屋市北区,名鉄小牧線,
246,足守,あしもり,岡山県岡山市,ＪＲ西日本　吉備線,
247,芦屋,あしや,兵庫県芦屋市,ＪＲ西日本　東海道本線,
248,芦屋,あしや,兵庫県芦屋市,阪神本線,
249,芦屋川,あしやがわ,兵庫県芦屋市,阪急神戸本線,
250,味美,あじよし,愛知県春日井市,名鉄小牧線,
251,味美,あじよし,愛知県春日井市,東海交通事業城北線,
252,足寄,あしょろ,北海道足寄町,北海道ちほく高原鉄道ふるさと銀河線,
253,網代,あじろ,静岡県熱海市,ＪＲ東日本　伊東線,
254,飛鳥,あすか,奈良県明日香村,近鉄吉野線,
255,飛鳥山,あすかやま,東京都北区,＃東京都営荒川線,
256,梓橋,あずさばし,長野県豊科町,ＪＲ東日本　大糸線,
257,東田,あずまだ,愛知県豊橋市,＃豊橋鉄道東田本線,
258,東田坂上,あずまださかうえ,愛知県豊橋市,＃豊橋鉄道東田本線,
259,安曇追分,あずみおいわけ,長野県穂高町,ＪＲ東日本　大糸線,
260,安曇沓掛,あずみくつかけ,長野県大町市,ＪＲ東日本　大糸線,
261,アスモ前,あすもまえ,静岡県湖西市,天竜浜名湖鉄道天竜浜名湖線,
262,足羽,あすわ,福井県福井市,ＪＲ西日本　越美北線,
263,安栖里,あせり,京都府和知町,ＪＲ西日本　山陰本線,
264,阿曽,あそ,三重県大宮町,ＪＲ東海　紀勢本線,
265,阿蘇,あそ,熊本県阿蘇町,ＪＲ九州　豊肥本線,
266,吾桑,あそう,高知県須崎市,ＪＲ四国　土讃線,
267,浅水,あそうず,福井県福井市,福井鉄道福武線,
268,薊野,あぞうの,高知県高知市,ＪＲ四国　土讃線,
269,阿蘇下田城ふれあい温泉,あそしもだじょうふれあいおんせん,熊本県長陽村,南阿蘇鉄道高森線,
270,阿蘇白川,あそしらかわ,熊本県白水村,南阿蘇鉄道高森線,
271,愛宕,あたご,宮城県松島町,ＪＲ東日本　東北本線,
272,愛宕,あたご,千葉県野田市,東武野田線,
273,愛宕橋,あたごばし,宮城県仙台市若林区,仙台市営南北線,
274,新鹿,あたしか,三重県熊野市,ＪＲ東海　紀勢本線,
275,安達,あだち,福島県安達町,ＪＲ東日本　東北本線,
276,熱海,あたみ,静岡県熱海市,ＪＲ東海　東海道新幹線,ＪＲ東日本　東海道本線
277,阿田和,あたわ,三重県御浜町,ＪＲ東海　紀勢本線,
278,厚保,あつ,山口県美祢市,ＪＲ西日本　美祢線,
279,厚賀,あつが,北海道門別町,ＪＲ北海道　日高本線,
280,厚木,あつぎ,神奈川県海老名市,ＪＲ東日本　相模線,小田急小田原線
281,厚岸,あっけし,北海道厚岸町,ＪＲ北海道　根室本線,
282,朝来,あっそ,和歌山県上富田町,ＪＲ西日本　紀勢本線,
283,熱田,あつた,愛知県名古屋市熱田区,ＪＲ東海　東海道本線,
284,安土,あづち,滋賀県安土町,ＪＲ西日本　東海道本線,
285,厚床,あっとこ,北海道根室市,ＪＲ北海道　根室本線,
286,厚内,あつない,北海道浦幌町,ＪＲ北海道　根室本線,
287,厚中問屋,あつなかとんや,京都府福知山市,北近畿タンゴ鉄道宮福線,
288,安比高原,あっぴこうげん,岩手県松尾村,ＪＲ東日本　花輪線,
289,厚別,あつべつ,北海道札幌市厚別区,ＪＲ北海道　函館本線,
290,吾妻,あづま,長崎県吾妻町,島原鉄道,
291,あつみ温泉,あつみおんせん,山形県温海町,ＪＲ東日本　羽越本線,
292,左沢,あてらざわ,山形県大江町,ＪＲ東日本　左沢線,
293,安登,あと,広島県安浦町,ＪＲ西日本　呉線,
294,安曇川,あどがわ,滋賀県安曇川町,ＪＲ西日本　湖西線,
295,穴川,あながわ,千葉県千葉市稲毛区,千葉都市モノレール２号線,
296,穴川,あながわ,三重県磯部町,近鉄志摩線,
297,穴内,あなない,高知県安芸市,土佐くろしお鉄道阿佐線,
298,穴吹,あなぶき,徳島県穴吹町,ＪＲ四国　徳島線,
299,穴部,あなべ,神奈川県小田原市,伊豆箱根鉄道大雄山線,
300,穴水,あなみず,石川県穴水町,のと鉄道七尾線,のと鉄道能登線
301,穴守稲荷,あなもりいなり,東京都大田区,京急空港線,
302,穴山,あなやま,山梨県韮崎市,ＪＲ東日本　中央本線,
303,阿南,あなん,徳島県阿南市,ＪＲ四国　牟岐線,
304,阿仁合,あにあい,秋田県阿仁町,秋田内陸縦貫鉄道秋田内陸線,
305,兄畑,あにはた,岩手県安代町,ＪＲ東日本　花輪線,
306,阿仁前田,あにまえだ,秋田県森吉町,秋田内陸縦貫鉄道秋田内陸線,
307,阿仁マタギ,あにまたぎ,秋田県阿仁町,秋田内陸縦貫鉄道秋田内陸線,
